REF_DATE,GEO,DGUID,Air passenger traffic,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,Canada,2016A000011124,"Total, passengers enplaned and deplaned",Number,223,units,0,v65781694,100000.1,150808451,,,,0
2018,Canada,2016A000011124,"Total, passengers enplaned and deplaned",Number,223,units,0,v65781694,100000.1,160641587,,,,0
2019,Canada,2016A000011124,"Total, passengers enplaned and deplaned",Number,223,units,0,v65781694,100000.1,162864077,,,,0
2020,Canada,2016A000011124,"Total, passengers enplaned and deplaned",Number,223,units,0,v65781694,100000.1,46349535,,,,0
2021,Canada,2016A000011124,"Total, passengers enplaned and deplaned",Number,223,units,0,v65781694,100000.1,46163940,,,,0
2017,Canada,2016A000011124,Domestic sector,Number,223,units,0,v65781698,100000.5,88284134,,,,0
2018,Canada,2016A000011124,Domestic sector,Number,223,units,0,v65781698,100000.5,93299144,,,,0
2019,Canada,2016A000011124,Domestic sector,Number,223,units,0,v65781698,100000.5,93313525,,,,0
2020,Canada,2016A000011124,Domestic sector,Number,223,units,0,v65781698,100000.5,29044556,,,,0
2021,Canada,2016A000011124,Domestic sector,Number,223,units,0,v65781698,100000.5,34369227,,,,0
2017,Canada,2016A000011124,Transborder sector,Number,223,units,0,v65781699,100000.6,29519218,,,,0
2018,Canada,2016A000011124,Transborder sector,Number,223,units,0,v65781699,100000.6,31459469,,,,0
2019,Canada,2016A000011124,Transborder sector,Number,223,units,0,v65781699,100000.6,32192583,,,,0
2020,Canada,2016A000011124,Transborder sector,Number,223,units,0,v65781699,100000.6,7057778,,,,0
2021,Canada,2016A000011124,Transborder sector,Number,223,units,0,v65781699,100000.6,4819268,,,,0
2017,Canada,2016A000011124,Other International sector,Number,223,units,0,v65781700,100000.7,33005099,,,,0
2018,Canada,2016A000011124,Other International sector,Number,223,units,0,v65781700,100000.7,35882974,,,,0
2019,Canada,2016A000011124,Other International sector,Number,223,units,0,v65781700,100000.7,37357969,,,,0
2020,Canada,2016A000011124,Other International sector,Number,223,units,0,v65781700,100000.7,10247201,,,,0
2021,Canada,2016A000011124,Other International sector,Number,223,units,0,v65781700,100000.7,6975445,,,,0
2017,"Halifax/Robert L Stanfield International, Nova Scotia",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778638,21.1,3984504,,,,0
2018,"Halifax/Robert L Stanfield International, Nova Scotia",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778638,21.1,4252361,,,,0
2019,"Halifax/Robert L Stanfield International, Nova Scotia",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778638,21.1,4128803,,,,0
2020,"Halifax/Robert L Stanfield International, Nova Scotia",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778638,21.1,975018,,,,0
2021,"Halifax/Robert L Stanfield International, Nova Scotia",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778638,21.1,1048821,,,,0
2017,"Halifax/Robert L Stanfield International, Nova Scotia",,Domestic sector,Number,223,units,0,v65778642,21.5,3387568,,,,0
2018,"Halifax/Robert L Stanfield International, Nova Scotia",,Domestic sector,Number,223,units,0,v65778642,21.5,3578689,,,,0
2019,"Halifax/Robert L Stanfield International, Nova Scotia",,Domestic sector,Number,223,units,0,v65778642,21.5,3472505,,,,0
2020,"Halifax/Robert L Stanfield International, Nova Scotia",,Domestic sector,Number,223,units,0,v65778642,21.5,841596,,,,0
2021,"Halifax/Robert L Stanfield International, Nova Scotia",,Domestic sector,Number,223,units,0,v65778642,21.5,1037935,,,,0
2017,"Halifax/Robert L Stanfield International, Nova Scotia",,Transborder sector,Number,223,units,0,v65778643,21.6,289032,,,,0
2018,"Halifax/Robert L Stanfield International, Nova Scotia",,Transborder sector,Number,223,units,0,v65778643,21.6,299455,,,,0
2019,"Halifax/Robert L Stanfield International, Nova Scotia",,Transborder sector,Number,223,units,0,v65778643,21.6,355794,,,,0
2020,"Halifax/Robert L Stanfield International, Nova Scotia",,Transborder sector,Number,223,units,0,v65778643,21.6,65328,,,,0
2021,"Halifax/Robert L Stanfield International, Nova Scotia",,Transborder sector,Number,223,units,0,v65778643,21.6,,x,,,0
2017,"Halifax/Robert L Stanfield International, Nova Scotia",,Other International sector,Number,223,units,0,v65778644,21.7,307904,,,,0
2018,"Halifax/Robert L Stanfield International, Nova Scotia",,Other International sector,Number,223,units,0,v65778644,21.7,374217,,,,0
2019,"Halifax/Robert L Stanfield International, Nova Scotia",,Other International sector,Number,223,units,0,v65778644,21.7,300504,,,,0
2020,"Halifax/Robert L Stanfield International, Nova Scotia",,Other International sector,Number,223,units,0,v65778644,21.7,68094,,,,0
2021,"Halifax/Robert L Stanfield International, Nova Scotia",,Other International sector,Number,223,units,0,v65778644,21.7,,x,,,0
2017,"Montréal/Pierre Elliott Trudeau International, Quebec",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779126,87.1,17556017,,,,0
2018,"Montréal/Pierre Elliott Trudeau International, Quebec",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779126,87.1,18804524,,,,0
2019,"Montréal/Pierre Elliott Trudeau International, Quebec",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779126,87.1,19578357,,,,0
2020,"Montréal/Pierre Elliott Trudeau International, Quebec",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779126,87.1,5178197,,,,0
2021,"Montréal/Pierre Elliott Trudeau International, Quebec",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779126,87.1,4976961,,,,0
2017,"Montréal/Pierre Elliott Trudeau International, Quebec",,Domestic sector,Number,223,units,0,v65779130,87.5,6580060,,,,0
2018,"Montréal/Pierre Elliott Trudeau International, Quebec",,Domestic sector,Number,223,units,0,v65779130,87.5,6795555,,,,0
2019,"Montréal/Pierre Elliott Trudeau International, Quebec",,Domestic sector,Number,223,units,0,v65779130,87.5,6895629,,,,0
2020,"Montréal/Pierre Elliott Trudeau International, Quebec",,Domestic sector,Number,223,units,0,v65779130,87.5,1930808,,,,0
2021,"Montréal/Pierre Elliott Trudeau International, Quebec",,Domestic sector,Number,223,units,0,v65779130,87.5,2314223,,,,0
2017,"Montréal/Pierre Elliott Trudeau International, Quebec",,Transborder sector,Number,223,units,0,v65779131,87.6,4013094,,,,0
2018,"Montréal/Pierre Elliott Trudeau International, Quebec",,Transborder sector,Number,223,units,0,v65779131,87.6,4322613,,,,0
2019,"Montréal/Pierre Elliott Trudeau International, Quebec",,Transborder sector,Number,223,units,0,v65779131,87.6,4442248,,,,0
2020,"Montréal/Pierre Elliott Trudeau International, Quebec",,Transborder sector,Number,223,units,0,v65779131,87.6,1032052,,,,0
2021,"Montréal/Pierre Elliott Trudeau International, Quebec",,Transborder sector,Number,223,units,0,v65779131,87.6,841824,,,,0
2017,"Montréal/Pierre Elliott Trudeau International, Quebec",,Other International sector,Number,223,units,0,v65779132,87.7,6962863,,,,0
